,i,j,mi
522,ar_uf,o_ar_uf,0.19962634928138132
523,o_ar_uf,ar_uf,0.19962634928138132
530,ar_uf,speechf,0.1261084837811965
531,speechf,ar_uf,0.1261084837811965
534,ar_uf,tympf,0.330983113392064
535,tympf,ar_uf,0.330983113392064
542,ar_uf,indentifierf,0.3560955814444004
543,indentifierf,ar_uf,0.3560955814444004
544,bonef,airf,0.18979673121401905
545,airf,bonef,0.18979673121401905
548,bonef,ar_cf,0.19279743903590416
549,ar_cf,bonef,0.19279743903590416
550,bonef,ar_uf,0.126745168079559
551,ar_uf,bonef,0.126745168079559
552,bonef,boneAbnormalf,0.10270665832946145
553,boneAbnormalf,bonef,0.10270665832946145
656,bonef,o_ar_cf,0.20009459264187868
657,o_ar_cf,bonef,0.20009459264187868
658,bonef,o_ar_uf,0.18447973403943627
659,o_ar_uf,bonef,0.18447973403943627
666,bonef,speechf,0.12436267246583409
667,speechf,bonef,0.12436267246583409
670,bonef,tympf,0.12018489860898487
671,tympf,bonef,0.12018489860898487
678,bonef,indentifierf,0.4479740515605469
679,indentifierf,bonef,0.4479740515605469
688,boneAbnormalf,bonef,0.10270665832946145
689,bonef,boneAbnormalf,0.10270665832946145
814,boneAbnormalf,indentifierf,0.1995201267290779
815,indentifierf,boneAbnormalf,0.1995201267290779
838,bserf,history_nauseaf,0.23314824294443887
839,history_nauseaf,bserf,0.23314824294443887
850,bserf,late_wave_poorf,0.6673791154144795
851,late_wave_poorf,bserf,0.6673791154144795
884,bserf,m_sn_gt_1kf,0.11836116413167565
885,m_sn_gt_1kf,bserf,0.11836116413167565
886,bserf,m_sn_gt_2kf,0.20283904050465673
887,m_sn_gt_2kf,bserf,0.20283904050465673
902,bserf,middle_wave_poorf,0.6673791154144795
903,middle_wave_poorf,bserf,0.6673791154144795
940,bserf,static_normalf,0.21207534973681702
941,static_normalf,bserf,0.21207534973681702
970,history_buzzingf,history_fullnessf,1.0
971,history_fullnessf,history_buzzingf,1.0
1082,history_buzzingf,wave_V_delayedf,0.5518704170314531
1083,wave_V_delayedf,history_buzzingf,0.5518704170314531
1104,history_dizzinessf,history_fluctuatingf,0.15329249393691813
1105,history_fluctuatingf,history_dizzinessf,0.15329249393691813
1110,history_dizzinessf,history_nauseaf,0.25437094328734466
1111,history_nauseaf,history_dizzinessf,0.25437094328734466
1114,history_dizzinessf,history_recruitmentf,0.15535194105131736
1115,history_recruitmentf,history_dizzinessf,0.15535194105131736
1116,history_dizzinessf,history_ringingf,0.14124232661962596
1117,history_ringingf,history_dizzinessf,0.14124232661962596
1118,history_dizzinessf,history_roaringf,0.45571581249371307
1119,history_roaringf,history_dizzinessf,0.45571581249371307
1120,history_dizzinessf,history_vomitingf,0.28299281792013975
1121,history_vomitingf,history_dizzinessf,0.28299281792013975
1162,history_dizzinessf,m_sn_gt_4kf,0.22124151120841412
1163,m_sn_gt_4kf,history_dizzinessf,0.22124151120841412
1212,history_dizzinessf,static_normalf,0.30588176334409023
1213,static_normalf,history_dizzinessf,0.30588176334409023
1220,history_dizzinessf,waveform_ItoV_prolongedf,0.15535194105131736
1221,waveform_ItoV_prolongedf,history_dizzinessf,0.15535194105131736
1222,history_dizzinessf,indentifierf,0.1421620598286694
1223,indentifierf,history_dizzinessf,0.1421620598286694
1240,history_fluctuatingf,history_dizzinessf,0.15329249393691813
1241,history_dizzinessf,history_fluctuatingf,0.15329249393691813
1250,history_fluctuatingf,history_recruitmentf,0.374703038957194
1251,history_recruitmentf,history_fluctuatingf,0.374703038957194
1292,history_fluctuatingf,m_sn_gt_1kf,0.17813530682313583
1293,m_sn_gt_1kf,history_fluctuatingf,0.17813530682313583
1304,history_fluctuatingf,m_sn_lt_1kf,0.5226221444646728
1305,m_sn_lt_1kf,history_fluctuatingf,0.5226221444646728
1348,history_fluctuatingf,static_normalf,0.27550104414926196
1349,static_normalf,history_fluctuatingf,0.27550104414926196
1374,history_fullnessf,history_buzzingf,1.0
1375,history_buzzingf,history_fullnessf,1.0
1490,history_fullnessf,wave_V_delayedf,0.5518704170314531
1491,wave_V_delayedf,history_fullnessf,0.5518704170314531
1614,history_heredityf,s_sn_gt_2kf,0.6836040338977228
1615,s_sn_gt_2kf,history_heredityf,0.6836040338977228
1644,history_nauseaf,bserf,0.23314824294443887
1645,bserf,history_nauseaf,0.23314824294443887
1648,history_nauseaf,history_dizzinessf,0.25437094328734466
1649,history_dizzinessf,history_nauseaf,0.25437094328734466
1662,history_nauseaf,history_roaringf,0.5892761320968887
1663,history_roaringf,history_nauseaf,0.5892761320968887
1664,history_nauseaf,history_vomitingf,0.12965414210273987
1665,history_vomitingf,history_nauseaf,0.12965414210273987
1704,history_nauseaf,m_sn_gt_3kf,0.12965414210273987
1705,m_sn_gt_3kf,history_nauseaf,0.12965414210273987
1756,history_nauseaf,static_normalf,0.1974986506459753
1757,static_normalf,history_nauseaf,0.1974986506459753
1764,history_nauseaf,waveform_ItoV_prolongedf,0.2876807696179836
1765,waveform_ItoV_prolongedf,history_nauseaf,0.2876807696179836
1878,history_noisef,notch_at_4kf,0.24693513999714073
1879,notch_at_4kf,history_noisef,0.24693513999714073
1886,history_noisef,s_sn_gt_2kf,0.10991784576970087
1887,s_sn_gt_2kf,history_noisef,0.10991784576970087
1902,history_noisef,indentifierf,0.20279342110483514
1903,indentifierf,history_noisef,0.20279342110483514
1920,history_recruitmentf,history_dizzinessf,0.15535194105131736
1921,history_dizzinessf,history_recruitmentf,0.15535194105131736
1922,history_recruitmentf,history_fluctuatingf,0.374703038957194
1923,history_fluctuatingf,history_recruitmentf,0.374703038957194
1972,history_recruitmentf,m_sn_gt_1kf,0.5349903240586071
1973,m_sn_gt_1kf,history_recruitmentf,0.5349903240586071
2028,history_recruitmentf,static_normalf,0.2573794375021826
2029,static_normalf,history_recruitmentf,0.2573794375021826
2056,history_ringingf,history_dizzinessf,0.14124232661962596
2057,history_dizzinessf,history_ringingf,0.14124232661962596
2080,history_ringingf,m_gt_1kf,0.3037342369925659
2081,m_gt_1kf,history_ringingf,0.3037342369925659
2116,history_ringingf,m_sn_gt_500f,0.3037342369925659
2117,m_sn_gt_500f,history_ringingf,0.3037342369925659
2166,history_ringingf,tympf,0.10876558306475918
2167,tympf,history_ringingf,0.10876558306475918
2170,history_ringingf,wave_V_delayedf,0.1580433322003196
2171,wave_V_delayedf,history_ringingf,0.1580433322003196
2192,history_roaringf,history_dizzinessf,0.45571581249371307
2193,history_dizzinessf,history_roaringf,0.45571581249371307
2200,history_roaringf,history_nauseaf,0.5892761320968887
2201,history_nauseaf,history_roaringf,0.5892761320968887
2208,history_roaringf,history_vomitingf,0.15079547876622698
2209,history_vomitingf,history_roaringf,0.15079547876622698
2248,history_roaringf,m_sn_gt_3kf,0.15079547876622698
2249,m_sn_gt_3kf,history_roaringf,0.15079547876622698
2300,history_roaringf,static_normalf,0.1292879877970436
2301,static_normalf,history_roaringf,0.1292879877970436
2308,history_roaringf,waveform_ItoV_prolongedf,0.3256519793309365
2309,waveform_ItoV_prolongedf,history_roaringf,0.3256519793309365
2328,history_vomitingf,history_dizzinessf,0.28299281792013975
2329,history_dizzinessf,history_vomitingf,0.28299281792013975
2336,history_vomitingf,history_nauseaf,0.12965414210273987
2337,history_nauseaf,history_vomitingf,0.12965414210273987
2344,history_vomitingf,history_roaringf,0.15079547876622698
2345,history_roaringf,history_vomitingf,0.15079547876622698
2386,history_vomitingf,m_sn_gt_4kf,0.35048227923065645
2387,m_sn_gt_4kf,history_vomitingf,0.35048227923065645
2392,history_vomitingf,m_sn_lt_1kf,0.1073708983748163
2393,m_sn_lt_1kf,history_vomitingf,0.1073708983748163
2436,history_vomitingf,static_normalf,0.11281944871104876
2437,static_normalf,history_vomitingf,0.11281944871104876
2460,late_wave_poorf,bserf,0.6673791154144795
2461,bserf,late_wave_poorf,0.6673791154144795
2516,late_wave_poorf,m_sn_gt_1kf,0.1580433322003196
2517,m_sn_gt_1kf,late_wave_poorf,0.1580433322003196
2534,late_wave_poorf,middle_wave_poorf,1.0
2535,middle_wave_poorf,late_wave_poorf,1.0
2764,m_cond_lt_1kf,m_m_snf,1.0
2765,m_m_snf,m_cond_lt_1kf,1.0
2772,m_cond_lt_1kf,m_p_sn_gt_2kf,1.0
2773,m_p_sn_gt_2kf,m_cond_lt_1kf,1.0
2776,m_cond_lt_1kf,m_s_snf,1.0
2777,m_s_snf,m_cond_lt_1kf,1.0
2778,m_cond_lt_1kf,m_s_sn_gt_1kf,1.0
2779,m_s_sn_gt_1kf,m_cond_lt_1kf,1.0
2780,m_cond_lt_1kf,m_s_sn_gt_2kf,1.0
2781,m_s_sn_gt_2kf,m_cond_lt_1kf,1.0
2782,m_cond_lt_1kf,m_s_sn_gt_3kf,1.0
2783,m_s_sn_gt_3kf,m_cond_lt_1kf,1.0
2784,m_cond_lt_1kf,m_s_sn_gt_4kf,1.0
2785,m_s_sn_gt_4kf,m_cond_lt_1kf,1.0
2798,m_cond_lt_1kf,m_sn_gt_6kf,1.0
2799,m_sn_gt_6kf,m_cond_lt_1kf,1.0
2810,m_cond_lt_1kf,mod_mixedf,1.0
2811,mod_mixedf,m_cond_lt_1kf,1.0
2812,m_cond_lt_1kf,mod_s_mixedf,1.0
2813,mod_s_mixedf,m_cond_lt_1kf,1.0
2814,m_cond_lt_1kf,mod_s_sn_gt_500f,1.0
2815,mod_s_sn_gt_500f,m_cond_lt_1kf,1.0
2816,m_cond_lt_1kf,mod_snf,1.0
2817,mod_snf,m_cond_lt_1kf,1.0
2886,m_gt_1kf,history_ringingf,0.3037342369925659
2887,history_ringingf,m_gt_1kf,0.3037342369925659
3168,m_m_snf,m_cond_lt_1kf,1.0
3169,m_cond_lt_1kf,m_m_snf,1.0
3180,m_m_snf,m_p_sn_gt_2kf,1.0
3181,m_p_sn_gt_2kf,m_m_snf,1.0
3184,m_m_snf,m_s_snf,1.0
3185,m_s_snf,m_m_snf,1.0
3186,m_m_snf,m_s_sn_gt_1kf,1.0
3187,m_s_sn_gt_1kf,m_m_snf,1.0
3188,m_m_snf,m_s_sn_gt_2kf,1.0
3189,m_s_sn_gt_2kf,m_m_snf,1.0
3190,m_m_snf,m_s_sn_gt_3kf,1.0
3191,m_s_sn_gt_3kf,m_m_snf,1.0
3192,m_m_snf,m_s_sn_gt_4kf,1.0
3193,m_s_sn_gt_4kf,m_m_snf,1.0
3206,m_m_snf,m_sn_gt_6kf,1.0
3207,m_sn_gt_6kf,m_m_snf,1.0
3218,m_m_snf,mod_mixedf,1.0
3219,mod_mixedf,m_m_snf,1.0
3220,m_m_snf,mod_s_mixedf,1.0
3221,mod_s_mixedf,m_m_snf,1.0
3222,m_m_snf,mod_s_sn_gt_500f,1.0
3223,mod_s_sn_gt_500f,m_m_snf,1.0
3224,m_m_snf,mod_snf,1.0
3225,mod_snf,m_m_snf,1.0
3508,m_m_sn_gt_2kf,notch_4kf,0.16667829006312687
3509,notch_4kf,m_m_sn_gt_2kf,0.16667829006312687
3712,m_p_sn_gt_2kf,m_cond_lt_1kf,1.0
3713,m_cond_lt_1kf,m_p_sn_gt_2kf,1.0
3718,m_p_sn_gt_2kf,m_m_snf,1.0
3719,m_m_snf,m_p_sn_gt_2kf,1.0
3728,m_p_sn_gt_2kf,m_s_snf,1.0
3729,m_s_snf,m_p_sn_gt_2kf,1.0
3730,m_p_sn_gt_2kf,m_s_sn_gt_1kf,1.0
3731,m_s_sn_gt_1kf,m_p_sn_gt_2kf,1.0
3732,m_p_sn_gt_2kf,m_s_sn_gt_2kf,1.0
3733,m_s_sn_gt_2kf,m_p_sn_gt_2kf,1.0
3734,m_p_sn_gt_2kf,m_s_sn_gt_3kf,1.0
3735,m_s_sn_gt_3kf,m_p_sn_gt_2kf,1.0
3736,m_p_sn_gt_2kf,m_s_sn_gt_4kf,1.0
3737,m_s_sn_gt_4kf,m_p_sn_gt_2kf,1.0
3750,m_p_sn_gt_2kf,m_sn_gt_6kf,1.0
3751,m_sn_gt_6kf,m_p_sn_gt_2kf,1.0
3762,m_p_sn_gt_2kf,mod_mixedf,1.0
3763,mod_mixedf,m_p_sn_gt_2kf,1.0
3764,m_p_sn_gt_2kf,mod_s_mixedf,1.0
3765,mod_s_mixedf,m_p_sn_gt_2kf,1.0
3766,m_p_sn_gt_2kf,mod_s_sn_gt_500f,1.0
3767,mod_s_sn_gt_500f,m_p_sn_gt_2kf,1.0
3768,m_p_sn_gt_2kf,mod_snf,1.0
3769,mod_snf,m_p_sn_gt_2kf,1.0
3984,m_s_snf,m_cond_lt_1kf,1.0
3985,m_cond_lt_1kf,m_s_snf,1.0
3990,m_s_snf,m_m_snf,1.0
3991,m_m_snf,m_s_snf,1.0
3998,m_s_snf,m_p_sn_gt_2kf,1.0
3999,m_p_sn_gt_2kf,m_s_snf,1.0
4002,m_s_snf,m_s_sn_gt_1kf,1.0
4003,m_s_sn_gt_1kf,m_s_snf,1.0
4004,m_s_snf,m_s_sn_gt_2kf,1.0
4005,m_s_sn_gt_2kf,m_s_snf,1.0
4006,m_s_snf,m_s_sn_gt_3kf,1.0
4007,m_s_sn_gt_3kf,m_s_snf,1.0
4008,m_s_snf,m_s_sn_gt_4kf,1.0
4009,m_s_sn_gt_4kf,m_s_snf,1.0
4022,m_s_snf,m_sn_gt_6kf,1.0
4023,m_sn_gt_6kf,m_s_snf,1.0
4034,m_s_snf,mod_mixedf,1.0
4035,mod_mixedf,m_s_snf,1.0
4036,m_s_snf,mod_s_mixedf,1.0
4037,mod_s_mixedf,m_s_snf,1.0
4038,m_s_snf,mod_s_sn_gt_500f,1.0
4039,mod_s_sn_gt_500f,m_s_snf,1.0
4040,m_s_snf,mod_snf,1.0
4041,mod_snf,m_s_snf,1.0
4120,m_s_sn_gt_1kf,m_cond_lt_1kf,1.0
4121,m_cond_lt_1kf,m_s_sn_gt_1kf,1.0
4126,m_s_sn_gt_1kf,m_m_snf,1.0
4127,m_m_snf,m_s_sn_gt_1kf,1.0
4134,m_s_sn_gt_1kf,m_p_sn_gt_2kf,1.0
4135,m_p_sn_gt_2kf,m_s_sn_gt_1kf,1.0
4138,m_s_sn_gt_1kf,m_s_snf,1.0
4139,m_s_snf,m_s_sn_gt_1kf,1.0
4140,m_s_sn_gt_1kf,m_s_sn_gt_2kf,1.0
4141,m_s_sn_gt_2kf,m_s_sn_gt_1kf,1.0
4142,m_s_sn_gt_1kf,m_s_sn_gt_3kf,1.0
4143,m_s_sn_gt_3kf,m_s_sn_gt_1kf,1.0
4144,m_s_sn_gt_1kf,m_s_sn_gt_4kf,1.0
4145,m_s_sn_gt_4kf,m_s_sn_gt_1kf,1.0
4158,m_s_sn_gt_1kf,m_sn_gt_6kf,1.0
4159,m_sn_gt_6kf,m_s_sn_gt_1kf,1.0
4170,m_s_sn_gt_1kf,mod_mixedf,1.0
4171,mod_mixedf,m_s_sn_gt_1kf,1.0
4172,m_s_sn_gt_1kf,mod_s_mixedf,1.0
4173,mod_s_mixedf,m_s_sn_gt_1kf,1.0
4174,m_s_sn_gt_1kf,mod_s_sn_gt_500f,1.0
4175,mod_s_sn_gt_500f,m_s_sn_gt_1kf,1.0
4176,m_s_sn_gt_1kf,mod_snf,1.0
4177,mod_snf,m_s_sn_gt_1kf,1.0
4256,m_s_sn_gt_2kf,m_cond_lt_1kf,1.0
4257,m_cond_lt_1kf,m_s_sn_gt_2kf,1.0
4262,m_s_sn_gt_2kf,m_m_snf,1.0
4263,m_m_snf,m_s_sn_gt_2kf,1.0
4270,m_s_sn_gt_2kf,m_p_sn_gt_2kf,1.0
4271,m_p_sn_gt_2kf,m_s_sn_gt_2kf,1.0
4274,m_s_sn_gt_2kf,m_s_snf,1.0
4275,m_s_snf,m_s_sn_gt_2kf,1.0
4276,m_s_sn_gt_2kf,m_s_sn_gt_1kf,1.0
4277,m_s_sn_gt_1kf,m_s_sn_gt_2kf,1.0
4278,m_s_sn_gt_2kf,m_s_sn_gt_3kf,1.0
4279,m_s_sn_gt_3kf,m_s_sn_gt_2kf,1.0
4280,m_s_sn_gt_2kf,m_s_sn_gt_4kf,1.0
4281,m_s_sn_gt_4kf,m_s_sn_gt_2kf,1.0
4294,m_s_sn_gt_2kf,m_sn_gt_6kf,1.0
4295,m_sn_gt_6kf,m_s_sn_gt_2kf,1.0
4306,m_s_sn_gt_2kf,mod_mixedf,1.0
4307,mod_mixedf,m_s_sn_gt_2kf,1.0
4308,m_s_sn_gt_2kf,mod_s_mixedf,1.0
4309,mod_s_mixedf,m_s_sn_gt_2kf,1.0
4310,m_s_sn_gt_2kf,mod_s_sn_gt_500f,1.0
4311,mod_s_sn_gt_500f,m_s_sn_gt_2kf,1.0
4312,m_s_sn_gt_2kf,mod_snf,1.0
4313,mod_snf,m_s_sn_gt_2kf,1.0
4392,m_s_sn_gt_3kf,m_cond_lt_1kf,1.0
4393,m_cond_lt_1kf,m_s_sn_gt_3kf,1.0
4398,m_s_sn_gt_3kf,m_m_snf,1.0
4399,m_m_snf,m_s_sn_gt_3kf,1.0
4406,m_s_sn_gt_3kf,m_p_sn_gt_2kf,1.0
4407,m_p_sn_gt_2kf,m_s_sn_gt_3kf,1.0
4410,m_s_sn_gt_3kf,m_s_snf,1.0
4411,m_s_snf,m_s_sn_gt_3kf,1.0
4412,m_s_sn_gt_3kf,m_s_sn_gt_1kf,1.0
4413,m_s_sn_gt_1kf,m_s_sn_gt_3kf,1.0
4414,m_s_sn_gt_3kf,m_s_sn_gt_2kf,1.0
4415,m_s_sn_gt_2kf,m_s_sn_gt_3kf,1.0
4416,m_s_sn_gt_3kf,m_s_sn_gt_4kf,1.0
4417,m_s_sn_gt_4kf,m_s_sn_gt_3kf,1.0
4430,m_s_sn_gt_3kf,m_sn_gt_6kf,1.0
4431,m_sn_gt_6kf,m_s_sn_gt_3kf,1.0
4442,m_s_sn_gt_3kf,mod_mixedf,1.0
4443,mod_mixedf,m_s_sn_gt_3kf,1.0
4444,m_s_sn_gt_3kf,mod_s_mixedf,1.0
4445,mod_s_mixedf,m_s_sn_gt_3kf,1.0
4446,m_s_sn_gt_3kf,mod_s_sn_gt_500f,1.0
4447,mod_s_sn_gt_500f,m_s_sn_gt_3kf,1.0
4448,m_s_sn_gt_3kf,mod_snf,1.0
4449,mod_snf,m_s_sn_gt_3kf,1.0
4528,m_s_sn_gt_4kf,m_cond_lt_1kf,1.0
4529,m_cond_lt_1kf,m_s_sn_gt_4kf,1.0
4534,m_s_sn_gt_4kf,m_m_snf,1.0
4535,m_m_snf,m_s_sn_gt_4kf,1.0
4542,m_s_sn_gt_4kf,m_p_sn_gt_2kf,1.0
4543,m_p_sn_gt_2kf,m_s_sn_gt_4kf,1.0
4546,m_s_sn_gt_4kf,m_s_snf,1.0
4547,m_s_snf,m_s_sn_gt_4kf,1.0
4548,m_s_sn_gt_4kf,m_s_sn_gt_1kf,1.0
4549,m_s_sn_gt_1kf,m_s_sn_gt_4kf,1.0
4550,m_s_sn_gt_4kf,m_s_sn_gt_2kf,1.0
4551,m_s_sn_gt_2kf,m_s_sn_gt_4kf,1.0
4552,m_s_sn_gt_4kf,m_s_sn_gt_3kf,1.0
4553,m_s_sn_gt_3kf,m_s_sn_gt_4kf,1.0
4566,m_s_sn_gt_4kf,m_sn_gt_6kf,1.0
4567,m_sn_gt_6kf,m_s_sn_gt_4kf,1.0
4578,m_s_sn_gt_4kf,mod_mixedf,1.0
4579,mod_mixedf,m_s_sn_gt_4kf,1.0
4580,m_s_sn_gt_4kf,mod_s_mixedf,1.0
4581,mod_s_mixedf,m_s_sn_gt_4kf,1.0
4582,m_s_sn_gt_4kf,mod_s_sn_gt_500f,1.0
4583,mod_s_sn_gt_500f,m_s_sn_gt_4kf,1.0
4584,m_s_sn_gt_4kf,mod_snf,1.0
4585,mod_snf,m_s_sn_gt_4kf,1.0
4772,m_sn_gt_1kf,bserf,0.11836116413167565
4773,bserf,m_sn_gt_1kf,0.11836116413167565
4778,m_sn_gt_1kf,history_fluctuatingf,0.17813530682313583
4779,history_fluctuatingf,m_sn_gt_1kf,0.17813530682313583
4788,m_sn_gt_1kf,history_recruitmentf,0.5349903240586071
4789,history_recruitmentf,m_sn_gt_1kf,0.5349903240586071
4796,m_sn_gt_1kf,late_wave_poorf,0.1580433322003196
4797,late_wave_poorf,m_sn_gt_1kf,0.1580433322003196
4846,m_sn_gt_1kf,middle_wave_poorf,0.1580433322003196
4847,middle_wave_poorf,m_sn_gt_1kf,0.1580433322003196
4884,m_sn_gt_1kf,static_normalf,0.11281944871104876
4885,static_normalf,m_sn_gt_1kf,0.11281944871104876
4908,m_sn_gt_2kf,bserf,0.20283904050465673
4909,bserf,m_sn_gt_2kf,0.20283904050465673
5030,m_sn_gt_2kf,indentifierf,0.12375370560807804
5031,indentifierf,m_sn_gt_2kf,0.12375370560807804
5056,m_sn_gt_3kf,history_nauseaf,0.12965414210273987
5057,history_nauseaf,m_sn_gt_3kf,0.12965414210273987
5064,m_sn_gt_3kf,history_roaringf,0.15079547876622698
5065,history_roaringf,m_sn_gt_3kf,0.15079547876622698
5184,m_sn_gt_4kf,history_dizzinessf,0.22124151120841412
5185,history_dizzinessf,m_sn_gt_4kf,0.22124151120841412
5202,m_sn_gt_4kf,history_vomitingf,0.35048227923065645
5203,history_vomitingf,m_sn_gt_4kf,0.35048227923065645
5248,m_sn_gt_4kf,m_sn_lt_1kf,0.1436970723714509
5249,m_sn_lt_1kf,m_sn_gt_4kf,0.1436970723714509
5292,m_sn_gt_4kf,static_normalf,0.15605200305700762
5293,static_normalf,m_sn_gt_4kf,0.15605200305700762
5334,m_sn_gt_500f,history_ringingf,0.3037342369925659
5335,history_ringingf,m_sn_gt_500f,0.3037342369925659
5480,m_sn_gt_6kf,m_cond_lt_1kf,1.0
5481,m_cond_lt_1kf,m_sn_gt_6kf,1.0
5486,m_sn_gt_6kf,m_m_snf,1.0
5487,m_m_snf,m_sn_gt_6kf,1.0
5494,m_sn_gt_6kf,m_p_sn_gt_2kf,1.0
5495,m_p_sn_gt_2kf,m_sn_gt_6kf,1.0
5498,m_sn_gt_6kf,m_s_snf,1.0
5499,m_s_snf,m_sn_gt_6kf,1.0
5500,m_sn_gt_6kf,m_s_sn_gt_1kf,1.0
5501,m_s_sn_gt_1kf,m_sn_gt_6kf,1.0
5502,m_sn_gt_6kf,m_s_sn_gt_2kf,1.0
5503,m_s_sn_gt_2kf,m_sn_gt_6kf,1.0
5504,m_sn_gt_6kf,m_s_sn_gt_3kf,1.0
5505,m_s_sn_gt_3kf,m_sn_gt_6kf,1.0
5506,m_sn_gt_6kf,m_s_sn_gt_4kf,1.0
5507,m_s_sn_gt_4kf,m_sn_gt_6kf,1.0
5530,m_sn_gt_6kf,mod_mixedf,1.0
5531,mod_mixedf,m_sn_gt_6kf,1.0
5532,m_sn_gt_6kf,mod_s_mixedf,1.0
5533,mod_s_mixedf,m_sn_gt_6kf,1.0
5534,m_sn_gt_6kf,mod_s_sn_gt_500f,1.0
5535,mod_s_sn_gt_500f,m_sn_gt_6kf,1.0
5536,m_sn_gt_6kf,mod_snf,1.0
5537,mod_snf,m_sn_gt_6kf,1.0
5594,m_sn_lt_1kf,history_fluctuatingf,0.5226221444646728
5595,history_fluctuatingf,m_sn_lt_1kf,0.5226221444646728
5610,m_sn_lt_1kf,history_vomitingf,0.1073708983748163
5611,history_vomitingf,m_sn_lt_1kf,0.1073708983748163
5652,m_sn_lt_1kf,m_sn_gt_4kf,0.1436970723714509
5653,m_sn_gt_4kf,m_sn_lt_1kf,0.1436970723714509
5996,middle_wave_poorf,bserf,0.6673791154144795
5997,bserf,middle_wave_poorf,0.6673791154144795
6020,middle_wave_poorf,late_wave_poorf,1.0
6021,late_wave_poorf,middle_wave_poorf,1.0
6054,middle_wave_poorf,m_sn_gt_1kf,0.1580433322003196
6055,m_sn_gt_1kf,middle_wave_poorf,0.1580433322003196
6296,mod_mixedf,m_cond_lt_1kf,1.0
6297,m_cond_lt_1kf,mod_mixedf,1.0
6302,mod_mixedf,m_m_snf,1.0
6303,m_m_snf,mod_mixedf,1.0
6310,mod_mixedf,m_p_sn_gt_2kf,1.0
6311,m_p_sn_gt_2kf,mod_mixedf,1.0
6314,mod_mixedf,m_s_snf,1.0
6315,m_s_snf,mod_mixedf,1.0
6316,mod_mixedf,m_s_sn_gt_1kf,1.0
6317,m_s_sn_gt_1kf,mod_mixedf,1.0
6318,mod_mixedf,m_s_sn_gt_2kf,1.0
6319,m_s_sn_gt_2kf,mod_mixedf,1.0
6320,mod_mixedf,m_s_sn_gt_3kf,1.0
6321,m_s_sn_gt_3kf,mod_mixedf,1.0
6322,mod_mixedf,m_s_sn_gt_4kf,1.0
6323,m_s_sn_gt_4kf,mod_mixedf,1.0
6336,mod_mixedf,m_sn_gt_6kf,1.0
6337,m_sn_gt_6kf,mod_mixedf,1.0
6348,mod_mixedf,mod_s_mixedf,1.0
6349,mod_s_mixedf,mod_mixedf,1.0
6350,mod_mixedf,mod_s_sn_gt_500f,1.0
6351,mod_s_sn_gt_500f,mod_mixedf,1.0
6352,mod_mixedf,mod_snf,1.0
6353,mod_snf,mod_mixedf,1.0
