,i,j,mi
234,airg,mod_s_sn_gt_500g,0.010774435869570755
235,mod_s_sn_gt_500g,airg,0.010774435869570755
236,airg,mod_sng,6.422527949412504e-16
237,mod_sng,airg,6.422527949412504e-16
238,airg,mod_sn_gt_1kg,6.422527949412504e-16
239,mod_sn_gt_1kg,airg,6.422527949412504e-16
240,airg,mod_sn_gt_2kg,0.04255287675700441
241,mod_sn_gt_2kg,airg,0.04255287675700441
242,airg,mod_sn_gt_3kg,0.044596687714014295
243,mod_sn_gt_3kg,airg,0.044596687714014295
244,airg,mod_sn_gt_4kg,6.422527949412504e-16
245,mod_sn_gt_4kg,airg,6.422527949412504e-16
246,airg,mod_sn_gt_500g,0.010774435869570755
247,mod_sn_gt_500g,airg,0.010774435869570755
248,airg,notch_4kg,0.045851155261847305
249,notch_4kg,airg,0.045851155261847305
250,airg,notch_at_4kg,6.422527949412504e-16
251,notch_at_4kg,airg,6.422527949412504e-16
252,airg,o_ar_cg,0.055124429553639505
253,o_ar_cg,airg,0.055124429553639505
254,airg,o_ar_ug,0.028961205083590232
255,o_ar_ug,airg,0.028961205083590232
256,airg,s_sn_gt_1kg,0.010774435869570755
257,s_sn_gt_1kg,airg,0.010774435869570755
258,airg,s_sn_gt_2kg,0.08954794112761517
259,s_sn_gt_2kg,airg,0.08954794112761517
260,airg,s_sn_gt_4kg,6.422527949412504e-16
261,s_sn_gt_4kg,airg,6.422527949412504e-16
262,airg,speechg,0.20692067096224837
263,speechg,airg,0.20692067096224837
264,airg,static_normalg,0.08954794112761517
265,static_normalg,airg,0.08954794112761517
266,airg,tympg,0.05488055968365845
267,tympg,airg,0.05488055968365845
268,airg,viith_nerve_signsg,6.422527949412504e-16
269,viith_nerve_signsg,airg,6.422527949412504e-16
270,airg,wave_V_delayedg,6.422527949412504e-16
271,wave_V_delayedg,airg,6.422527949412504e-16
272,airg,waveform_ItoV_prolongedg,6.422527949412504e-16
273,waveform_ItoV_prolongedg,airg,6.422527949412504e-16
274,airg,indentifierg,0.33274709374840816
275,indentifierg,airg,0.33274709374840816
276,airBoneGapg,age_gt_60g,0.0
277,age_gt_60g,airBoneGapg,0.0
278,airBoneGapg,airg,0.07388205248000405
279,airg,airBoneGapg,0.07388205248000405
280,airBoneGapg,ar_cg,0.19144583552770317
281,ar_cg,airBoneGapg,0.19144583552770317
282,airBoneGapg,ar_ug,0.1730464330491359
283,ar_ug,airBoneGapg,0.1730464330491359
284,airBoneGapg,boneg,0.08721061712599319
285,boneg,airBoneGapg,0.08721061712599319
286,airBoneGapg,boneAbnormalg,0.0005354773132858135
287,boneAbnormalg,airBoneGapg,0.0005354773132858135
288,airBoneGapg,bserg,0.0
289,bserg,airBoneGapg,0.0
290,airBoneGapg,history_buzzingg,0.0
291,history_buzzingg,airBoneGapg,0.0
292,airBoneGapg,history_dizzinessg,0.01641259479283426
293,history_dizzinessg,airBoneGapg,0.01641259479283426
294,airBoneGapg,history_fluctuatingg,0.00518568899396379
295,history_fluctuatingg,airBoneGapg,0.00518568899396379
296,airBoneGapg,history_fullnessg,0.0
297,history_fullnessg,airBoneGapg,0.0
298,airBoneGapg,history_heredityg,0.0
299,history_heredityg,airBoneGapg,0.0
300,airBoneGapg,history_nauseag,0.014188144316864633
301,history_nauseag,airBoneGapg,0.014188144316864633
302,airBoneGapg,history_noiseg,0.0009211855481964478
303,history_noiseg,airBoneGapg,0.0009211855481964478
304,airBoneGapg,history_recruitmentg,0.0
305,history_recruitmentg,airBoneGapg,0.0
306,airBoneGapg,history_ringingg,0.0
307,history_ringingg,airBoneGapg,0.0
308,airBoneGapg,history_roaringg,0.008798296717403387
309,history_roaringg,airBoneGapg,0.008798296717403387
310,airBoneGapg,history_vomitingg,0.008798296717403387
311,history_vomitingg,airBoneGapg,0.008798296717403387
312,airBoneGapg,late_wave_poorg,0.0
313,late_wave_poorg,airBoneGapg,0.0
314,airBoneGapg,m_at_2kg,0.0
315,m_at_2kg,airBoneGapg,0.0
316,airBoneGapg,m_cond_lt_1kg,0.0
317,m_cond_lt_1kg,airBoneGapg,0.0
318,airBoneGapg,m_gt_1kg,0.0
319,m_gt_1kg,airBoneGapg,0.0
320,airBoneGapg,m_m_gt_2kg,0.00518568899396379
321,m_m_gt_2kg,airBoneGapg,0.00518568899396379
322,airBoneGapg,m_m_sng,0.02354412971529541
323,m_m_sng,airBoneGapg,0.02354412971529541
324,airBoneGapg,m_m_sn_gt_1kg,0.014188144316864633
325,m_m_sn_gt_1kg,airBoneGapg,0.014188144316864633
326,airBoneGapg,m_m_sn_gt_2kg,0.00518568899396379
327,m_m_sn_gt_2kg,airBoneGapg,0.00518568899396379
328,airBoneGapg,m_m_sn_gt_500g,0.0
329,m_m_sn_gt_500g,airBoneGapg,0.0
330,airBoneGapg,m_p_sn_gt_2kg,0.0
331,m_p_sn_gt_2kg,airBoneGapg,0.0
332,airBoneGapg,m_s_gt_500g,0.0
333,m_s_gt_500g,airBoneGapg,0.0
334,airBoneGapg,m_s_sng,0.00518568899396379
335,m_s_sng,airBoneGapg,0.00518568899396379
336,airBoneGapg,m_s_sn_gt_1kg,0.0
337,m_s_sn_gt_1kg,airBoneGapg,0.0
338,airBoneGapg,m_s_sn_gt_2kg,0.00518568899396379
339,m_s_sn_gt_2kg,airBoneGapg,0.00518568899396379
340,airBoneGapg,m_s_sn_gt_3kg,0.00518568899396379
341,m_s_sn_gt_3kg,airBoneGapg,0.00518568899396379
342,airBoneGapg,m_s_sn_gt_4kg,0.00518568899396379
343,m_s_sn_gt_4kg,airBoneGapg,0.00518568899396379
344,airBoneGapg,m_sn_2_3kg,0.0
345,m_sn_2_3kg,airBoneGapg,0.0
346,airBoneGapg,m_sn_gt_1kg,0.014188144316864633
347,m_sn_gt_1kg,airBoneGapg,0.014188144316864633
348,airBoneGapg,m_sn_gt_2kg,0.014188144316864633
349,m_sn_gt_2kg,airBoneGapg,0.014188144316864633
350,airBoneGapg,m_sn_gt_3kg,0.0
351,m_sn_gt_3kg,airBoneGapg,0.0
352,airBoneGapg,m_sn_gt_4kg,0.018456580297696708
353,m_sn_gt_4kg,airBoneGapg,0.018456580297696708
354,airBoneGapg,m_sn_gt_500g,0.0
355,m_sn_gt_500g,airBoneGapg,0.0
356,airBoneGapg,m_sn_gt_6kg,0.0
357,m_sn_gt_6kg,airBoneGapg,0.0
358,airBoneGapg,m_sn_lt_1kg,0.0
359,m_sn_lt_1kg,airBoneGapg,0.0
360,airBoneGapg,m_sn_lt_2kg,0.0
361,m_sn_lt_2kg,airBoneGapg,0.0
362,airBoneGapg,m_sn_lt_3kg,0.0
363,m_sn_lt_3kg,airBoneGapg,0.0
364,airBoneGapg,middle_wave_poorg,0.0
365,middle_wave_poorg,airBoneGapg,0.0
366,airBoneGapg,mod_gt_4kg,0.0
367,mod_gt_4kg,airBoneGapg,0.0
368,airBoneGapg,mod_mixedg,0.0
369,mod_mixedg,airBoneGapg,0.0
370,airBoneGapg,mod_s_mixedg,0.0
371,mod_s_mixedg,airBoneGapg,0.0
372,airBoneGapg,mod_s_sn_gt_500g,0.00518568899396379
373,mod_s_sn_gt_500g,airBoneGapg,0.00518568899396379
374,airBoneGapg,mod_sng,0.0
375,mod_sng,airBoneGapg,0.0
376,airBoneGapg,mod_sn_gt_1kg,0.0
377,mod_sn_gt_1kg,airBoneGapg,0.0
378,airBoneGapg,mod_sn_gt_2kg,0.01169909754960156
379,mod_sn_gt_2kg,airBoneGapg,0.01169909754960156
380,airBoneGapg,mod_sn_gt_3kg,0.00518568899396379
381,mod_sn_gt_3kg,airBoneGapg,0.00518568899396379
382,airBoneGapg,mod_sn_gt_4kg,0.0
383,mod_sn_gt_4kg,airBoneGapg,0.0
384,airBoneGapg,mod_sn_gt_500g,0.00518568899396379
385,mod_sn_gt_500g,airBoneGapg,0.00518568899396379
386,airBoneGapg,notch_4kg,0.027345404375404878
387,notch_4kg,airBoneGapg,0.027345404375404878
388,airBoneGapg,notch_at_4kg,0.0
389,notch_at_4kg,airBoneGapg,0.0
390,airBoneGapg,o_ar_cg,0.24202470039714308
391,o_ar_cg,airBoneGapg,0.24202470039714308
392,airBoneGapg,o_ar_ug,0.10270969293385057
393,o_ar_ug,airBoneGapg,0.10270969293385057
394,airBoneGapg,s_sn_gt_1kg,0.00518568899396379
395,s_sn_gt_1kg,airBoneGapg,0.00518568899396379
396,airBoneGapg,s_sn_gt_2kg,0.01169909754960156
397,s_sn_gt_2kg,airBoneGapg,0.01169909754960156
398,airBoneGapg,s_sn_gt_4kg,0.0
399,s_sn_gt_4kg,airBoneGapg,0.0
400,airBoneGapg,speechg,0.034547494525639835
401,speechg,airBoneGapg,0.034547494525639835
402,airBoneGapg,static_normalg,0.01169909754960156
403,static_normalg,airBoneGapg,0.01169909754960156
404,airBoneGapg,tympg,0.5145972430620473
405,tympg,airBoneGapg,0.5145972430620473
406,airBoneGapg,viith_nerve_signsg,0.0
407,viith_nerve_signsg,airBoneGapg,0.0
408,airBoneGapg,wave_V_delayedg,0.0
409,wave_V_delayedg,airBoneGapg,0.0
410,airBoneGapg,waveform_ItoV_prolongedg,0.0
411,waveform_ItoV_prolongedg,airBoneGapg,0.0
412,airBoneGapg,indentifierg,0.09089505903972563
413,indentifierg,airBoneGapg,0.09089505903972563
414,ar_cg,age_gt_60g,1.5738607661019716e-15
415,age_gt_60g,ar_cg,1.5738607661019716e-15
416,ar_cg,airg,0.10299880727586894
417,airg,ar_cg,0.10299880727586894
418,ar_cg,airBoneGapg,0.19144583552770317
419,airBoneGapg,ar_cg,0.19144583552770317
420,ar_cg,ar_ug,0.18975871494824084
421,ar_ug,ar_cg,0.18975871494824084
422,ar_cg,boneg,0.1532827435248738
423,boneg,ar_cg,0.1532827435248738
424,ar_cg,boneAbnormalg,0.0042559086290999285
425,boneAbnormalg,ar_cg,0.0042559086290999285
426,ar_cg,bserg,1.5738607661019716e-15
427,bserg,ar_cg,1.5738607661019716e-15
428,ar_cg,history_buzzingg,1.5738607661019716e-15
429,history_buzzingg,ar_cg,1.5738607661019716e-15
430,ar_cg,history_dizzinessg,0.040672873264520855
431,history_dizzinessg,ar_cg,0.040672873264520855
432,ar_cg,history_fluctuatingg,0.009358274181273064
433,history_fluctuatingg,ar_cg,0.009358274181273064
434,ar_cg,history_fullnessg,1.5738607661019716e-15
435,history_fullnessg,ar_cg,1.5738607661019716e-15
436,ar_cg,history_heredityg,1.5738607661019716e-15
437,history_heredityg,ar_cg,1.5738607661019716e-15
438,ar_cg,history_nauseag,0.025339118638244642
439,history_nauseag,ar_cg,0.025339118638244642
440,ar_cg,history_noiseg,0.04126507888915036
441,history_noiseg,ar_cg,0.04126507888915036
442,ar_cg,history_recruitmentg,1.5738607661019716e-15
443,history_recruitmentg,ar_cg,1.5738607661019716e-15
444,ar_cg,history_ringingg,1.5738607661019716e-15
445,history_ringingg,ar_cg,1.5738607661019716e-15
446,ar_cg,history_roaringg,0.03360247476677631
447,history_roaringg,ar_cg,0.03360247476677631
448,ar_cg,history_vomitingg,0.03360247476677631
449,history_vomitingg,ar_cg,0.03360247476677631
450,ar_cg,late_wave_poorg,1.5738607661019716e-15
451,late_wave_poorg,ar_cg,1.5738607661019716e-15
452,ar_cg,m_at_2kg,1.5738607661019716e-15
453,m_at_2kg,ar_cg,1.5738607661019716e-15
454,ar_cg,m_cond_lt_1kg,1.5738607661019716e-15
455,m_cond_lt_1kg,ar_cg,1.5738607661019716e-15
456,ar_cg,m_gt_1kg,1.5738607661019716e-15
457,m_gt_1kg,ar_cg,1.5738607661019716e-15
458,ar_cg,m_m_gt_2kg,0.05665199289244284
459,m_m_gt_2kg,ar_cg,0.05665199289244284
460,ar_cg,m_m_sng,0.031775653119743126
461,m_m_sng,ar_cg,0.031775653119743126
462,ar_cg,m_m_sn_gt_1kg,0.03338707734073528
463,m_m_sn_gt_1kg,ar_cg,0.03338707734073528
464,ar_cg,m_m_sn_gt_2kg,0.05665199289244284
465,m_m_sn_gt_2kg,ar_cg,0.05665199289244284
466,ar_cg,m_m_sn_gt_500g,1.5738607661019716e-15
467,m_m_sn_gt_500g,ar_cg,1.5738607661019716e-15
468,ar_cg,m_p_sn_gt_2kg,1.5738607661019716e-15
469,m_p_sn_gt_2kg,ar_cg,1.5738607661019716e-15
470,ar_cg,m_s_gt_500g,1.5738607661019716e-15
471,m_s_gt_500g,ar_cg,1.5738607661019716e-15
472,ar_cg,m_s_sng,0.009358274181273064
473,m_s_sng,ar_cg,0.009358274181273064
474,ar_cg,m_s_sn_gt_1kg,1.5738607661019716e-15
475,m_s_sn_gt_1kg,ar_cg,1.5738607661019716e-15
476,ar_cg,m_s_sn_gt_2kg,0.009358274181273064
477,m_s_sn_gt_2kg,ar_cg,0.009358274181273064
478,ar_cg,m_s_sn_gt_3kg,0.009358274181273064
479,m_s_sn_gt_3kg,ar_cg,0.009358274181273064
480,ar_cg,m_s_sn_gt_4kg,0.009358274181273064
481,m_s_sn_gt_4kg,ar_cg,0.009358274181273064
482,ar_cg,m_sn_2_3kg,1.5738607661019716e-15
483,m_sn_2_3kg,ar_cg,1.5738607661019716e-15
484,ar_cg,m_sn_gt_1kg,0.04658507858564743
485,m_sn_gt_1kg,ar_cg,0.04658507858564743
486,ar_cg,m_sn_gt_2kg,0.025339118638244642
487,m_sn_gt_2kg,ar_cg,0.025339118638244642
488,ar_cg,m_sn_gt_3kg,1.5738607661019716e-15
489,m_sn_gt_3kg,ar_cg,1.5738607661019716e-15
490,ar_cg,m_sn_gt_4kg,0.09505362246748093
491,m_sn_gt_4kg,ar_cg,0.09505362246748093
492,ar_cg,m_sn_gt_500g,1.5738607661019716e-15
493,m_sn_gt_500g,ar_cg,1.5738607661019716e-15
494,ar_cg,m_sn_gt_6kg,1.5738607661019716e-15
495,m_sn_gt_6kg,ar_cg,1.5738607661019716e-15
496,ar_cg,m_sn_lt_1kg,1.5738607661019716e-15
497,m_sn_lt_1kg,ar_cg,1.5738607661019716e-15
498,ar_cg,m_sn_lt_2kg,1.5738607661019716e-15
499,m_sn_lt_2kg,ar_cg,1.5738607661019716e-15
500,ar_cg,m_sn_lt_3kg,1.5738607661019716e-15
501,m_sn_lt_3kg,ar_cg,1.5738607661019716e-15
502,ar_cg,middle_wave_poorg,1.5738607661019716e-15
503,middle_wave_poorg,ar_cg,1.5738607661019716e-15
504,ar_cg,mod_gt_4kg,1.5738607661019716e-15
505,mod_gt_4kg,ar_cg,1.5738607661019716e-15
506,ar_cg,mod_mixedg,1.5738607661019716e-15
507,mod_mixedg,ar_cg,1.5738607661019716e-15
508,ar_cg,mod_s_mixedg,1.5738607661019716e-15
509,mod_s_mixedg,ar_cg,1.5738607661019716e-15
510,ar_cg,mod_s_sn_gt_500g,0.009358274181273064
511,mod_s_sn_gt_500g,ar_cg,0.009358274181273064
512,ar_cg,mod_sng,1.5738607661019716e-15
513,mod_sng,ar_cg,1.5738607661019716e-15
514,ar_cg,mod_sn_gt_1kg,1.5738607661019716e-15
515,mod_sn_gt_1kg,ar_cg,1.5738607661019716e-15
516,ar_cg,mod_sn_gt_2kg,0.1608645344750204
517,mod_sn_gt_2kg,ar_cg,0.1608645344750204
518,ar_cg,mod_sn_gt_3kg,0.05665199289244284
519,mod_sn_gt_3kg,ar_cg,0.05665199289244284
520,ar_cg,mod_sn_gt_4kg,1.5738607661019716e-15
521,mod_sn_gt_4kg,ar_cg,1.5738607661019716e-15
522,ar_cg,mod_sn_gt_500g,0.009358274181273064
523,mod_sn_gt_500g,ar_cg,0.009358274181273064
524,ar_cg,notch_4kg,0.06786121133681616
525,notch_4kg,ar_cg,0.06786121133681616
526,ar_cg,notch_at_4kg,1.5738607661019716e-15
527,notch_at_4kg,ar_cg,1.5738607661019716e-15
528,ar_cg,o_ar_cg,0.301369981073227
529,o_ar_cg,ar_cg,0.301369981073227
530,ar_cg,o_ar_ug,0.40966678813075696
531,o_ar_ug,ar_cg,0.40966678813075696
532,ar_cg,s_sn_gt_1kg,0.009358274181273064
533,s_sn_gt_1kg,ar_cg,0.009358274181273064
534,ar_cg,s_sn_gt_2kg,0.025816334982129072
535,s_sn_gt_2kg,ar_cg,0.025816334982129072
